|name      |ra           |dec          |spect_type  |vmag |
|HIP 105138|21 17 55.0679|+34 53 48.772|B2Vne       | 4.41|
|HIP 115102|23 18 49.4268|-32 31 54.609|K1III       | 4.41|
|HIP 32761 |06 49 51.3161|-53 37 20.972|G6II        | 4.41|
|HIP 34693 |07 11 08.3916|+30 14 43.010|K2III       | 4.41|
|HIP 70300 |14 23 02.2573|-39 30 42.358|B2V         | 4.41|
|HIP 85693 |17 30 44.2980|+26 06 38.176|K3IIIvar    | 4.41|
|HIP 115033|23 17 54.2036|-09 10 56.964|B5Vn        | 4.41|
|HIP 87998 |17 58 30.1497|+30 11 21.368|F2II        | 4.41|
|HIP 110538|22 23 33.6364|+52 13 46.198|G9III       | 4.42|
|HIP 88290 |18 01 45.1895|+01 18 18.394|A2Vn        | 4.42|
|HIP 115623|23 25 22.6614|+23 24 14.445|F8IV        | 4.42|
|HIP 72571 |14 50 17.4667|-27 57 36.789|K3III       | 4.42|
|HIP 77257 |15 46 26.7459|+07 21 11.663|G0Vvar      | 4.42|
|HIP 29038 |06 07 34.3219|+14 46 06.683|B3IV        | 4.42|
|HIP 34922 |07 13 32.2309|-44 38 25.906|M5e         | 4.42|
|HIP 53954 |11 02 19.7812|+20 10 47.085|A1m         | 4.42|
|HIP 40326 |08 14 02.8871|-40 20 51.829|K1II/III    | 4.42|
|HIP 31700 |06 37 53.4259|-18 14 14.846|K0II/III    | 4.42|
|HIP 34981 |07 14 15.2164|-26 21 09.058|B3III       | 4.42|
|HIP 23040 |04 57 17.2204|+53 45 07.498|A1V         | 4.43|
|HIP 19849 |04 15 17.6382|-07 38 40.410|K1V         | 4.43|
|HIP 100587|20 23 51.5960|+32 11 24.670|K3III       | 4.43|
|HIP 98688 |20 02 39.4593|-27 42 35.567|M4III       | 4.43|
|HIP 102281|20 43 27.5457|+15 04 28.856|A7IIIp d Del| 4.43|
|HIP 94481 |19 13 45.4887|+39 08 45.491|B2.5IV      | 4.43|
|HIP 17593 |03 46 08.5024|-12 06 06.247|M1III       | 4.43|
|HIP 102624|20 47 44.2379|-05 01 39.371|M3IIIvar    | 4.43|
|HIP 19921 |04 16 29.0835|-59 18 06.294|K2IV        | 4.44|
|HIP 30060 |06 19 37.3908|+59 00 39.259|A2Vs        | 4.44|
|HIP 40706 |08 18 33.3932|-36 39 34.318|A4m...      | 4.44|
|HIP 21770 |04 40 33.8231|-41 51 48.853|F2V         | 4.44|
|HIP 3786  |00 48 40.8954|+07 35 06.727|K5III       | 4.44|
|HIP 71121 |14 32 37.0835|-50 27 25.637|B2III       | 4.44|
|HIP 40091 |08 11 21.5002|-39 37 06.791|K4III       | 4.44|
|HIP 95771 |19 28 42.4110|+24 39 54.593|M0 comp     | 4.44|
|HIP 36795 |07 34 03.2060|-22 17 46.251|F6V         | 4.44|
|HIP 1170  |00 14 38.4327|-18 55 57.671|M1III       | 4.44|
|HIP 51849 |10 35 35.3146|-57 33 27.488|K3/K4II     | 4.45|
|HIP 55084 |11 16 39.7641|-03 39 05.451|A7IVn       | 4.45|
|HIP 42402 |08 38 45.4488|+03 20 29.309|K2III       | 4.45|
|HIP 94648 |19 15 33.2937|+73 21 18.772|K3III       | 4.45|
|HIP 7884  |01 41 25.9076|+05 29 15.376|K3III       | 4.45|
|HIP 29426 |06 11 56.3968|+14 12 31.731|B3IV        | 4.45|
|HIP 96229 |19 34 05.2277|+07 22 45.549|K3III       | 4.45|
|HIP 44191 |09 00 05.4401|-41 15 13.456|Fp          | 4.45|
|HIP 52633 |10 45 47.1358|-80 32 24.730|B2.5IV      | 4.45|
|HIP 13147 |02 49 05.3595|-32 24 22.623|G8III       | 4.45|
|HIP 80975 |16 32 08.1866|-21 27 59.320|Ap          | 4.45|
|HIP 24244 |05 12 17.8874|-11 52 08.914|B8V         | 4.45|
|HIP 44901 |09 08 52.3857|+51 36 17.018|Am          | 4.46|
|HIP 18255 |03 54 17.4866|-02 57 17.041|G8III       | 4.46|
|HIP 59173 |12 08 05.2563|-50 39 40.516|B2IIIne     | 4.46|
|HIP 80582 |16 27 11.0478|-47 33 17.049|B4V         | 4.46|
|HIP 112948|22 52 31.5579|-32 52 31.621|A0III       | 4.46|
|HIP 24331 |05 13 17.4796|+02 51 40.512|K3III...    | 4.46|
|HIP 11569 |02 29 03.9882|+67 24 08.582|A5p Sr      | 4.46|
|HIP 54682 |11 11 39.4863|-22 49 32.183|A1V         | 4.46|
|HIP 44599 |09 05 08.8303|-72 36 09.698|F6II-III    | 4.47|
|HIP 104858|21 14 28.7901|+10 00 27.787|F5V+...     | 4.47|
|HIP 73165 |14 57 11.0568|-04 20 45.911|F0V         | 4.47|
|HIP 23123 |04 58 32.9029|+01 42 50.526|K2IIvar     | 4.47|
|HIP 31216 |06 32 54.2296|+07 19 58.725|A0Ib        | 4.47|
|HIP 57803 |11 51 08.7516|-45 10 24.418|K4III       | 4.47|
|HIP 38957 |07 58 14.4439|-49 14 41.743|B1Vp + B2   | 4.47|
|HIP 47006 |09 34 49.4949|+52 03 05.643|A2V         | 4.47|
|HIP 46146 |09 24 39.2793|+26 10 56.787|K2III       | 4.47|
|HIP 71284 |14 34 40.6905|+29 44 41.306|F3Vwvar     | 4.47|
|HIP 15549 |03 20 20.3663|+29 02 54.594|K2II-III    | 4.47|
|HIP 109111|22 06 06.9036|-39 32 34.977|M0III       | 4.47|
|HIP 30788 |06 28 10.2175|-32 34 48.466|B4V         | 4.47|
|HIP 12843 |02 45 05.9815|-18 34 21.543|F5/F6V      | 4.47|
|HIP 75323 |15 23 22.6578|-59 19 14.514|B5III + F8  | 4.48|
|HIP 18744 |04 00 53.8050|-62 09 33.729|M4III       | 4.48|
|HIP 32578 |06 47 51.6568|+02 24 43.881|K0III       | 4.48|
|HIP 113889|23 03 52.6065|+03 49 12.252|B6Ve        | 4.48|
|HIP 20713 |04 26 20.6717|+15 37 06.046|F0V...      | 4.48|
|HIP 80343 |16 24 06.1973|-20 02 13.961|K0III       | 4.48|
|HIP 49641 |10 07 56.2956|-00 22 17.860|A0III       | 4.48|
|HIP 114119|23 06 40.8073|-23 44 35.220|G8III       | 4.48|
|HIP 3504  |00 44 43.5021|+48 17 03.777|B5III       | 4.48|
|HIP 116971|23 42 43.2849|-14 32 41.073|B9V         | 4.49|
|HIP 38455 |07 52 38.6533|-38 51 46.159|B2V         | 4.49|
|HIP 116928|23 42 02.8818|+01 46 49.502|A7V         | 4.49|
|HIP 118322|23 59 54.9101|-65 34 37.480|B9IV        | 4.49|
|HIP 49593 |10 07 25.7251|+35 14 40.890|A7V         | 4.49|
|HIP 71762 |14 40 43.5610|+16 25 05.885|B9p MnHg    | 4.49|
|HIP 34834 |07 12 33.7409|-46 45 34.432|F0IV        | 4.49|
|HIP 32249 |06 43 59.2941|+13 13 41.315|K1III       | 4.49|
|HIP 107310|21 44 08.4045|+28 44 35.600|F6V         | 4.49|
|HIP 9480  |02 01 57.5498|+70 54 25.366|A3IV        | 4.49|
|HIP 21248 |04 33 30.6295|-29 45 56.995|K0III       | 4.49|
|HIP 104234|21 07 07.6854|-25 00 20.693|K5/M0III    | 4.49|
|HIP 96441 |19 36 26.5424|+50 13 13.668|F4V         | 4.49|
|HIP 43105 |08 46 42.5592|-56 46 11.270|B3Vne       | 4.50|
|HIP 99874 |20 15 46.1574|+27 48 51.223|K3III       | 4.50|
|HIP 27530 |05 49 49.5768|-56 09 59.359|K1III       | 4.50|
|HIP 50676 |10 20 54.8150|-56 02 35.606|B3III       | 4.50|
|HIP 67275 |13 47 16.0366|+17 27 24.388|F7V         | 4.50|
|HIP 104459|21 09 35.5928|-11 22 17.957|G8III       | 4.50|
|HIP 57565 |11 47 59.2264|+20 13 08.188|A comp SB   | 4.50|
|HIP 111944|22 40 30.7824|+44 16 34.610|K3III       | 4.50|
|HIP 109285|22 08 22.9532|-32 59 18.234|A2V         | 4.50|
|HIP 109754|22 13 52.7015|+39 42 53.601|K3III       | 4.50|
|HIP 106039|21 28 43.3160|-21 48 25.800|K0III       | 4.50|
|HIP 26594 |05 39 11.1459|+04 07 17.280|B3IIIe      | 4.50|
|HIP 106723|21 37 04.8228|-19 27 57.649|B3V:p       | 4.51|
|HIP 98702 |20 02 49.0472|+67 52 24.415|K3III       | 4.51|
|HIP 47391 |09 39 21.0409|-61 19 41.179|B9V         | 4.51|
|HIP 46515 |09 29 14.7375|-35 57 04.852|K3III       | 4.51|
|HIP 76852 |15 41 33.0923|+19 40 13.820|A1V         | 4.51|
|HIP 102333|20 44 02.1867|-51 55 15.026|A6:var      | 4.51|
|HIP 27483 |05 49 10.4595|+39 10 52.080|G8III       | 4.51|
|HIP 117863|23 54 23.0373|+57 29 57.806|F8Iavar     | 4.51|
|HIP 1473  |00 18 19.7053|+36 47 07.178|A2V         | 4.51|
|HIP 5586  |01 11 39.5867|+30 05 23.027|K0III-IV... | 4.51|
|HIP 110838|22 27 19.8731|-64 57 58.965|B8V         | 4.51|
|HIP 65271 |13 22 37.9798|-60 59 18.082|B3V         | 4.52|
|HIP 73745 |15 04 26.8571|+26 56 51.575|K2III       | 4.52|
|HIP 65387 |13 24 00.4434|-64 32 08.221|G5III-IV    | 4.52|
|HIP 95176 |19 21 43.6220|-15 57 18.008|F2p         | 4.52|
|HIP 89112 |18 11 13.7762|-45 57 15.577|G5III       | 4.52|
|HIP 13061 |02 47 54.4415|+29 14 50.726|K1III       | 4.52|
|HIP 106140|21 29 56.8797|+23 38 19.785|M1III       | 4.52|
|HIP 111104|22 30 29.2616|+43 07 24.203|B2IV        | 4.52|
|HIP 69974 |14 19 06.6019|-13 22 16.199|A1V         | 4.52|
|HIP 102431|20 45 21.1966|+57 34 49.073|F8IV-V      | 4.52|
|HIP 85365 |17 26 37.9351|-05 05 11.371|F3V         | 4.53|
|HIP 28413 |06 00 03.3454|-03 04 26.677|K2IIIvar    | 4.53|
|HIP 2487  |00 31 33.3552|-62 57 55.619|A2V         | 4.53|
|HIP 87072 |17 47 33.6271|-27 49 50.745|F7II        | 4.53|
|HIP 69483 |14 13 28.9499|+51 47 23.966|A8IV        | 4.53|
|HIP 114570|23 12 32.9229|+49 24 21.510|F0V         | 4.53|
|HIP 102589|20 47 24.5270|+36 29 26.652|B6IV        | 4.53|
|HIP 3881  |00 49 48.8297|+41 04 44.237|B5V SB      | 4.53|
|HIP 37096 |07 37 22.1200|-34 58 06.854|B8IV/V      | 4.53|
|HIP 46776 |09 31 58.9348|-01 11 04.756|A3V         | 4.54|
|HIP 46977 |09 34 28.9679|+69 49 48.555|G4III-IV    | 4.54|
|HIP 114144|23 07 00.2558|+09 24 34.281|M2III       | 4.54|
|HIP 75304 |15 23 09.3633|-36 51 30.371|B4V         | 4.54|
|HIP 72659 |14 51 23.2842|+19 06 02.280|G8V + K4V   | 4.54|
|HIP 115919|23 29 09.2603|+12 45 37.773|G8III       | 4.54|
|HIP 74392 |15 12 13.3122|-19 47 29.873|Asp...      | 4.54|
|HIP 24727 |05 18 10.5481|+33 22 19.215|K3III...    | 4.54|
|HIP 98162 |19 56 56.8249|-27 10 11.505|K3III       | 4.54|
|HIP 46952 |09 34 13.3770|+36 23 51.408|G8III       | 4.54|
|HIP 31416 |06 35 03.3799|-22 57 53.399|A0III       | 4.54|
|HIP 23595 |05 04 24.3118|-35 28 58.334|K2III       | 4.55|
|HIP 36425 |07 29 47.7821|+12 00 23.800|K2III       | 4.55|
|HIP 76371 |15 35 53.2650|-44 57 30.013|B3IVp       | 4.55|
|HIP 48402 |09 52 06.3602|+54 03 51.429|A3IV        | 4.55|
|HIP 88839 |18 08 04.9630|-28 27 25.259|K0IIICNpvar | 4.55|
|HIP 301   |00 03 44.3724|-17 20 09.492|B9IVn       | 4.55|
|HIP 110609|22 24 30.9957|+49 28 35.043|B9Iab       | 4.55|
|HIP 107119|21 41 55.0761|+71 18 40.273|K0III       | 4.55|
|HIP 80079 |16 20 38.1834|-24 10 09.423|A4II/III    | 4.55|
|HIP 33694 |07 00 03.8480|+76 58 38.789|K4III       | 4.55|
|HIP 16281 |03 29 54.7460|+58 52 43.509|A0Ia SB:    | 4.55|
|HIP 110351|22 21 01.5283|+46 32 11.633|B6V         | 4.55|
|HIP 13328 |02 51 30.8309|+35 03 35.619|K5III       | 4.56|
|HIP 70574 |14 26 08.2351|-45 13 17.004|B2IV        | 4.56|
|HIP 18597 |03 58 44.7375|-61 24 00.542|M2III       | 4.56|
|HIP 104194|21 06 36.0881|+47 38 54.261|K4II        | 4.56|
|HIP 86092 |17 35 39.6113|-46 30 20.127|A0V         | 4.56|
|HIP 27830 |05 53 19.6436|+27 36 44.227|A0V         | 4.56|
|HIP 44700 |09 06 31.7881|+38 27 08.101|G8Ib-II     | 4.56|
|HIP 103004|20 52 07.7256|+27 05 49.660|G8III       | 4.56|
|HIP 54951 |11 15 12.2431|+23 05 43.891|M3III       | 4.56|
|HIP 86614 |17 41 56.3070|+72 08 58.197|F5IV-V      | 4.57|
|HIP 94005 |19 08 20.9330|-40 29 47.895|K1III       | 4.57|
|HIP 16870 |03 37 05.6781|-40 16 28.239|K0III       | 4.57|
|HIP 92818 |18 54 44.8812|+22 38 42.265|G4III+...   | 4.57|
|HIP 80463 |16 25 24.9296|+14 02 00.295|B9p Cr      | 4.57|
|HIP 97886 |19 53 27.6808|+24 04 46.292|B9.5III     | 4.57|
|HIP 80473 |16 25 35.1211|-23 26 49.624|B2V         | 4.57|
|HIP 67627 |13 51 25.9376|+64 43 23.818|M3III       | 4.58|
|HIP 26237 |05 35 23.1617|-04 50 18.026|B2III...    | 4.58|
|HIP 64425 |13 12 17.6293|-59 55 13.931|B8V         | 4.58|
|HIP 52468 |10 43 32.3077|-60 33 59.857|K3Ib        | 4.58|
|HIP 115250|23 20 38.2232|+23 44 25.293|A5V         | 4.58|
|HIP 48374 |09 51 40.6884|-46 32 51.519|G5Ib        | 4.58|
|HIP 86284 |17 37 50.7198|-08 07 07.397|B8II-IIIMNp | 4.58|
|HIP 79404 |16 12 18.2117|-27 55 34.736|B2V         | 4.58|
|HIP 54751 |11 12 36.0203|-60 19 03.471|A6Ia        | 4.59|
|HIP 46509 |09 29 08.8388|-02 46 08.243|F6V         | 4.59|
|HIP 77840 |15 53 36.7284|-25 19 37.489|B2.5Vn      | 4.59|
|HIP 50555 |10 19 36.7652|-55 01 45.532|K3II        | 4.59|
|HIP 3245  |00 41 19.5760|-46 05 06.034|G8III       | 4.59|
|HIP 17351 |03 42 50.1220|-37 18 48.041|K2IIICN...  | 4.59|
|HIP 77512 |15 49 35.6980|+26 04 06.778|G5III-IV    | 4.59|
|HIP 91926 |18 44 22.7758|+39 36 45.344|A8Vn        | 4.59|
|HIP 117452|23 48 55.4799|-28 07 48.053|A0V         | 4.59|
|HIP 42527 |08 40 12.8986|+64 19 40.338|K2III       | 4.59|
|HIP 17959 |03 50 21.4758|+71 19 56.524|A2IVn       | 4.59|
|HIP 25473 |05 26 50.2282|+03 05 44.438|B2IV        | 4.59|
|HIP 96465 |19 36 42.3891|-24 53 00.840|B8/B9V      | 4.59|
|HIP 95081 |19 20 40.0720|+65 42 51.949|A2IIIs      | 4.60|
|HIP 72125 |14 45 14.4972|+16 57 51.851|K0III       | 4.60|
|HIP 75501 |15 25 20.2524|-38 44 00.917|A0V         | 4.60|
|HIP 77760 |15 52 40.1944|+42 26 59.957|F9V         | 4.60|
|HIP 53502 |10 56 42.9963|-37 08 14.866|K0III       | 4.60|
|HIP 20070 |04 18 14.5755|+50 17 44.302|A2V         | 4.60|
|HIP 49402 |10 05 07.4925|-13 03 52.828|B8V         | 4.60|
|HIP 36145 |07 26 42.8609|+49 12 41.922|A1V         | 4.61|
|HIP 8833  |01 53 33.3366|+03 11 14.922|K0III SB    | 4.61|
|HIP 101474|20 33 54.1882|+35 15 03.113|K2Ib comp   | 4.61|
|HIP 1366  |00 17 05.5356|+38 40 54.045|A2V         | 4.61|
|HIP 39095 |07 59 52.0552|-18 23 56.913|A1V         | 4.61|
|HIP 443   |00 05 20.1458|-05 42 28.197|K1III       | 4.61|
|HIP 14817 |03 11 17.4015|+39 36 41.655|K1III       | 4.61|
|HIP 76219 |15 34 10.5197|-10 03 50.255|K1IV        | 4.61|
|HIP 4422  |00 56 40.0105|+59 10 52.197|G8III-IV    | 4.62|
|HIP 90982 |18 33 30.1601|-42 18 44.851|G5III       | 4.62|
|HIP 63007 |12 54 39.2200|-59 08 47.995|B4Vn        | 4.62|
|HIP 92946 |18 56 13.1603|+04 12 12.706|A5V         | 4.62|
|HIP 54182 |11 05 01.2299|+07 20 10.041|F2III-IVvar | 4.62|
|HIP 56480 |11 34 45.7119|-54 15 50.874|B9V         | 4.62|
|HIP 62327 |12 46 22.7495|-56 29 19.607|B3V         | 4.62|
|HIP 18673 |03 59 55.4761|-24 00 58.524|Ap Si       | 4.62|
|HIP 23497 |05 03 05.7041|+21 35 24.222|A7V         | 4.62|
|HIP 25923 |05 31 55.8603|-07 18 05.495|B0V         | 4.62|
|HIP 80628 |16 27 48.2270|-08 22 18.122|A3m         | 4.62|
|HIP 88175 |18 00 28.9204|-03 41 24.580|F3V         | 4.62|
|HIP 44824 |09 08 02.8572|-25 51 30.733|K4/K5III    | 4.62|
|HIP 54301 |11 06 32.4743|-62 25 26.892|G8III       | 4.62|
|HIP 73199 |14 57 35.1191|+65 55 56.573|M5III       | 4.63|
|HIP 90797 |18 31 22.4265|-62 16 41.488|B8III       | 4.63|
|HIP 37648 |07 43 32.3956|-28 24 39.446|K5III       | 4.63|
|HIP 13914 |02 59 12.7339|+21 20 25.601|A2Vs        | 4.63|
|HIP 118131|23 57 45.5496|+25 08 29.326|M3III       | 4.63|
|HIP 38500 |07 53 03.6424|-49 36 47.086|B1.5Vp      | 4.63|
|HIP 61789 |12 39 52.5614|-39 59 14.071|B8II/III    | 4.63|
|HIP 42835 |08 43 40.3803|-07 14 01.420|G2Ib        | 4.63|
|HIP 45448 |09 15 45.0695|-37 24 47.255|F3/F5V      | 4.63|
|HIP 92512 |18 51 12.0066|+59 23 17.840|K0II-III SB | 4.63|
|HIP 77635 |15 50 58.7536|-25 45 04.446|B1.5Vn      | 4.63|
|HIP 78662 |16 03 32.2210|-57 46 29.545|A7IV        | 4.63|
|HIP 66738 |13 40 44.2925|+54 40 53.981|M2IIIvar    | 4.63|
|HIP 101589|20 35 18.5082|+14 40 27.065|A3V         | 4.64|
|HIP 82369 |16 49 49.9731|-10 46 58.082|F7IV        | 4.64|
|HIP 88765 |18 07 18.3543|+08 44 01.657|G8III-IV    | 4.64|
|HIP 18216 |03 53 42.6830|-24 36 43.965|B5V         | 4.64|
|HIP 22845 |04 54 53.7041|+10 09 04.122|A0V         | 4.64|
|HIP 67234 |13 46 39.3684|-51 25 57.712|G8/K0III    | 4.64|
|HIP 76829 |15 41 11.5157|-44 39 38.013|F5IV-V      | 4.64|
|HIP 84606 |17 17 40.2859|+37 17 28.836|A2V         | 4.64|
|HIP 28716 |06 03 55.1836|+20 08 18.451|B2Iavar     | 4.64|
|HIP 111674|22 37 22.4658|+51 32 43.346|A8IV        | 4.64|
|HIP 76669 |15 39 22.6838|+36 38 08.979|B7V+...     | 4.64|
|HIP 113919|23 04 10.8318|+50 03 06.062|K0III       | 4.64|
|HIP 95585 |19 26 31.0897|+00 20 18.872|F2Ib        | 4.64|
|HIP 51192 |10 27 24.4783|-57 38 19.729|A6Ia        | 4.65|
|HIP 27890 |05 54 05.9001|-63 05 27.675|K1III/IV    | 4.65|
|HIP 23607 |05 04 34.1384|+15 24 15.050|A0p Si      | 4.65|
|HIP 36917 |07 35 22.9372|-28 22 09.401|B8V         | 4.65|
|HIP 58590 |12 00 52.3903|+06 36 51.821|A5V         | 4.65|
|HIP 21273 |04 33 50.8552|+14 50 40.155|A8V         | 4.65|
|HIP 78639 |16 03 12.8602|-49 13 46.995|G8III       | 4.65|
|HIP 12719 |02 43 27.1105|+27 42 25.815|B3V         | 4.65|
|HIP 36514 |07 30 42.6101|-30 57 44.219|G2Ib...     | 4.65|
|HIP 35363 |07 18 18.4009|-36 44 02.280|B2V+...     | 4.65|
|HIP 61740 |12 39 14.8125|-07 59 43.816|K2III       | 4.66|
|HIP 5571  |01 11 27.1942|+21 02 04.832|K0III       | 4.66|
|HIP 44626 |09 05 38.3821|-70 32 18.675|B2IVe       | 4.66|
|HIP 53295 |10 53 58.7060|+43 11 24.055|A1Vs        | 4.66|
|HIP 42806 |08 43 17.2131|+21 28 06.946|A1IV        | 4.66|
|HIP 31978 |06 40 58.6610|+09 53 44.737|O7          | 4.66|
|HIP 62012 |12 42 35.5611|-48 48 46.926|K0III       | 4.66|
|HIP 98543 |20 01 06.0101|+27 45 12.830|A4III       | 4.66|
|HIP 33302 |06 55 37.3990|-20 08 11.737|F2IV/V      | 4.66|
|HIP 76705 |15 39 45.9749|-34 24 42.814|G8/K0III    | 4.66|
|HIP 8497  |01 49 35.1911|-10 41 10.251|F3III       | 4.66|
|HIP 90135 |18 23 39.5538|-08 56 04.237|K0III       | 4.66|
|HIP 89678 |18 18 03.1879|-27 02 33.484|K3III       | 4.66|
|HIP 35205 |07 16 35.0014|-27 52 52.583|M2III       | 4.66|
|HIP 88567 |18 05 01.2225|-29 34 48.274|G0Ib/II     | 4.66|
|HIP 88128 |18 00 03.4207|+16 45 03.401|K0II-III    | 4.67|
|HIP 28910 |06 06 09.3340|-14 56 07.031|A0V         | 4.67|
|HIP 90595 |18 29 11.8519|-14 33 56.898|A1IV/V      | 4.67|
|HIP 5742  |01 13 44.9352|+24 35 01.553|K0III...    | 4.67|
|HIP 45075 |09 10 54.9312|+63 30 49.611|Am          | 4.67|
|HIP 103738|21 01 17.4617|-32 15 27.961|G8III       | 4.67|
|HIP 40167 |08 12 12.7088|+17 38 53.295|G0V         | 4.67|
|HIP 21683 |04 39 16.4519|+15 55 04.887|A5Vn        | 4.67|
|HIP 16244 |03 29 22.0303|+49 30 32.469|B3V         | 4.67|
|HIP 91919 |18 44 20.3373|+39 40 11.917|F1V         | 4.67|
|HIP 96100 |19 32 20.5865|+69 39 55.446|K0V         | 4.67|
|HIP 19811 |04 14 53.3102|+40 29 01.406|G5II comp   | 4.67|
|HIP 8928  |01 54 56.0148|-67 38 50.932|G5III       | 4.68|
|HIP 7294  |01 33 55.9260|+59 13 55.548|K0III       | 4.68|
|HIP 43878 |08 56 19.2780|-52 43 24.639|B5V         | 4.68|
|HIP 52098 |10 38 43.2126|+31 58 34.392|G0II        | 4.68|
|HIP 9677  |02 04 29.4301|-29 17 48.623|B9.5p (Si)  | 4.68|
|HIP 106786|21 37 45.0421|-07 51 14.912|A7V         | 4.68|
|HIP 66234 |13 34 27.3735|+49 00 57.262|A5V         | 4.68|
|HIP 96683 |19 39 22.6043|+30 09 11.641|G8III-IV... | 4.68|
|HIP 66006 |13 31 57.9460|-06 15 20.558|M3III       | 4.68|
|HIP 13879 |02 58 45.6505|+39 39 46.179|A2Vn        | 4.68|
|HIP 47310 |09 38 27.3851|+04 38 57.891|K3III       | 4.68|
|HIP 49029 |10 00 12.8243|+08 02 39.397|M2III       | 4.68|
|HIP 112211|22 43 35.2526|-18 49 49.106|K3III       | 4.68|
|HIP 80047 |16 20 20.8351|-78 41 44.362|M5III       | 4.68|
|HIP 20732 |04 26 36.3768|+14 42 49.888|G8III       | 4.69|
|HIP 39211 |08 01 13.2964|-01 23 32.727|K4III       | 4.69|
|HIP 108870|22 03 17.4396|-56 46 47.302|K5V         | 4.69|
|HIP 62268 |12 45 37.9162|-60 58 52.178|K1III       | 4.69|
|HIP 52102 |10 38 45.0125|-59 10 58.797|K4/K5III:   | 4.69|
|HIP 116389|23 35 04.5306|-42 36 54.364|A2V         | 4.69|
|HIP 37173 |07 38 18.0474|-25 21 53.237|B8IV        | 4.69|
|HIP 38089 |07 48 20.2477|-47 04 39.115|K0III       | 4.69|
|HIP 107136|21 42 05.6597|+51 11 22.658|B3IV        | 4.69|
|HIP 24813 |05 19 08.0784|+40 06 02.402|G0V         | 4.69|
|HIP 104521|21 10 20.4711|+10 07 55.015|F0p         | 4.70|
|HIP 56633 |11 36 40.9485|-09 48 08.113|B9.5Vn      | 4.70|
|HIP 113116|22 54 24.3843|+84 20 46.027|K4III       | 4.70|
|HIP 98066 |19 55 50.2250|-26 17 58.874|G3/G5III    | 4.70|
|HIP 82671 |16 53 59.7273|-42 21 43.271|B1Iae       | 4.70|
|HIP 56922 |11 40 12.8204|-34 44 40.759|B9V         | 4.70|
|HIP 24927 |05 20 26.9117|-21 14 23.062|A0V         | 4.70|
|HIP 91726 |18 42 16.4221|-09 03 09.193|F2IIIp d Del| 4.70|
|HIP 116247|23 33 16.6251|-20 54 52.290|A0V         | 4.70|
|HIP 23693 |05 05 30.6904|-57 28 22.761|F7V         | 4.71|
|HIP 57283 |11 44 45.7589|-18 21 02.213|G8III       | 4.71|
|HIP 63945 |13 06 16.7304|-48 27 47.713|B5V         | 4.71|
|HIP 68191 |13 57 38.9368|-63 41 11.818|K4III       | 4.71|
|HIP 25984 |05 32 43.6742|+32 11 31.313|B5Iab       | 4.71|
|HIP 16245 |03 29 22.1864|-62 56 18.364|F5IV-V      | 4.71|
|HIP 13954 |02 59 42.8963|+08 54 26.644|B6III       | 4.71|
|HIP 105140|21 17 56.2466|-32 10 20.948|A0V         | 4.71|
|HIP 45902 |09 21 29.5988|-25 57 55.499|M0III       | 4.71|
|HIP 46026 |09 23 12.3363|-28 50 02.123|G8III       | 4.71|
|HIP 25737 |05 29 43.9816|-01 05 31.832|K5III       | 4.71|
|HIP 114375|23 09 54.8769|-22 27 27.333|A3IV:       | 4.71|
|HIP 97938 |19 54 14.8218|+08 27 41.941|K0III       | 4.71|
|HIP 22667 |04 52 31.9637|+14 15 02.802|M3Sv        | 4.71|
|HIP 58867 |12 04 19.2377|-63 09 56.559|B2IV        | 4.72|
|HIP 51438 |10 30 20.0751|-71 59 33.792|A2III       | 4.72|
|HIP 6692  |01 25 55.9042|+68 07 47.811|K0III       | 4.72|
|HIP 29276 |06 10 17.9131|-54 58 07.178|B0.5IV      | 4.72|
|HIP 60202 |12 20 43.0931|+17 47 33.551|G8III       | 4.72|
|HIP 27639 |05 51 02.4103|+37 18 20.454|M1III       | 4.72|
|HIP 64844 |13 17 32.6371|+40 34 21.226|F3III       | 4.72|
|HIP 51056 |10 25 54.8671|+33 47 46.549|F0V         | 4.72|
|HIP 40084 |08 11 16.3213|-12 55 37.266|K0III       | 4.72|
|HIP 78592 |16 02 47.8511|+46 02 12.674|B9III       | 4.72|
|HIP 46371 |09 27 18.2974|-22 20 36.303|K1III       | 4.72|
|HIP 84514 |17 16 36.7056|-00 26 42.511|K2III       | 4.72|
|HIP 51658 |10 33 13.9972|+40 25 31.946|A7IV        | 4.72|
|HIP 25044 |05 21 45.7477|-00 22 56.889|B2IV-V      | 4.72|
|HIP 107188|21 42 39.4172|-18 51 58.684|G8III       | 4.72|
|HIP 103045|20 52 39.2058|-08 58 59.656|A3m         | 4.73|
|HIP 53907 |11 01 49.6689|-02 29 04.189|K5III       | 4.73|
|HIP 40096 |08 11 25.8968|-42 59 14.240|A7Ib        | 4.73|
|HIP 78914 |16 06 29.4236|-45 10 23.791|Am          | 4.73|
|HIP 33202 |06 54 38.5939|+13 10 40.859|F0Vp        | 4.73|
|HIP 79119 |16 08 58.3286|+36 29 24.394|K0III-IV    | 4.73|
|HIP 11313 |02 25 37.4010|+50 16 43.197|K4III       | 4.73|
|HIP 64924 |13 18 24.9720|-18 18 30.998|G5V         | 4.74|
|HIP 11783 |02 32 05.2772|-15 14 39.552|F5V         | 4.74|
|HIP 15520 |03 19 59.2568|+65 39 08.378|B2.5Vne     | 4.74|
