|name      |ra           |dec          |spect_type  |vmag |
|HIP 71352 |14 35 30.4516|-42 09 27.884|B1Vn + A    | 2.33|
|HIP 53910 |11 01 50.3908|+56 22 56.441|A1V         | 2.34|
|HIP 72105 |14 44 59.2509|+27 04 27.026|A0          | 2.35|
|HIP 107315|21 44 11.1403|+09 52 30.028|K2Ibvar     | 2.38|
|HIP 86670 |17 42 29.2798|-39 01 47.715|B1.5III     | 2.39|
|HIP 2081  |00 26 16.8674|-42 18 18.439|K0III...    | 2.40|
|HIP 58001 |11 53 49.7413|+53 41 41.039|A0V SB      | 2.41|
|HIP 84012 |17 10 22.6624|-15 43 30.531|A2.5Va      | 2.43|
|HIP 113881|23 03 46.3334|+28 04 56.837|M2II-IIIvar | 2.44|
|HIP 105199|21 18 34.5816|+62 35 07.639|A7IV-V      | 2.45|
|HIP 35904 |07 24 05.7050|-29 18 11.231|B5Ia        | 2.45|
|HIP 45941 |09 22 06.8292|-55 00 38.503|B2IV        | 2.47|
|HIP 102488|20 46 12.4322|+33 58 10.032|K0III       | 2.48|
|HIP 113963|23 04 45.6168|+15 12 19.324|B9.5III     | 2.49|
|HIP 81377 |16 37 09.5300|-10 34 01.746|O9.5V       | 2.54|
|HIP 14135 |03 02 16.7791|+04 05 23.731|M2III       | 2.54|
|HIP 68002 |13 55 32.4349|-47 17 17.759|B2.5IV      | 2.55|
|HIP 54872 |11 14 06.4121|+20 31 26.522|A4V         | 2.56|
|HIP 78820 |16 05 26.2349|-19 48 19.414|B0.5V       | 2.56|
|HIP 59196 |12 08 21.5436|-50 43 20.676|B2IVne      | 2.58|
|HIP 25985 |05 32 43.8139|-17 49 20.252|F0Ib        | 2.58|
|HIP 59803 |12 15 48.4678|-17 32 31.141|B8III       | 2.58|
|HIP 93506 |19 02 36.7234|-29 52 48.411|A3IV        | 2.60|
|HIP 74785 |15 17 00.4718|-09 22 58.321|B8V         | 2.61|
|HIP 77070 |15 44 15.9958|+06 25 31.871|K2III       | 2.63|
|HIP 8903  |01 54 38.3491|+20 48 29.878|A5V...      | 2.64|
|HIP 26634 |05 39 38.9399|-34 04 26.578|B7IV        | 2.65|
